"Data Source","World Development Indicators","","","","","","","","","",""

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017"
"Algeria","DZA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","33.63582","33.83405","33.36683","34.24533","35.56392","36.08916","39.85327","38.88401"
"East Asia & Pacific (excluding high income)","EAP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","55.84498","56.38466","51.64049","52.44075","48.12064","47.3731","42.29951","42.53947"
"Early-demographic dividend","EAR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","64.28869","64.85589","60.37994","61.40087","60.00267","60.62224","59.87879","60.36866"
"East Asia & Pacific","EAS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","51.91201","52.41693","48.05673","48.82717","44.84953","44.21893","39.52072","39.75062"
"Europe & Central Asia (excluding high income)","ECA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.12892","26.85415","26.01927","25.62095","24.76752","25.93091","24.82664","24.9394"
"Europe & Central Asia","ECS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","20.58376","20.57562","19.50098","19.08045","18.3919","19.00086","18.00992","18.08356"
"Ecuador","ECU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","19.97919","19.322","19.55771","18.11861","16.23419","15.69971","14.98158","14.8861"
"Egypt, Arab Rep.","EGY","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","77.44662","70.78636","72.79057","76.21365","76.5596","88.21339","88.1485","86.99945"
"Euro area","EMU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","15.18742","15.36639","14.1575","13.78814","13.22456","13.43064","12.46631","12.52511"
"Eritrea","ERI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","45.22714","45.25745","46.13385","47.62782","44.37495","49.82891","48.67094","48.0302"
"Spain","ESP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","11.34933","12.038","11.14962","10.74258","10.07459","10.4491","9.704139","9.697928"
"Estonia","EST","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","8.519849","8.442559","7.810699","7.482814","7.705553","7.003728","6.821448","6.732124"
"Ethiopia","ETH","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","35.63415","36.31794","35.97384","35.88421","35.0436","38.8586","39.24504","38.97874"
"European Union","EUU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","16.50221","16.63121","15.31009","14.79928","14.25004","14.47107","13.43168","13.4661"
"Fragile and conflict affected situations","FCS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","45.41324","45.32782","46.87666","44.38277","42.89714","53.54273","51.18898","51.58592"
"Finland","FIN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","7.190331","7.2837","6.601134","6.278689","6.46864","6.063834","5.893757","5.861331"
"Fiji","FJI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","13.53381","13.83646","12.85205","12.14462","11.92289","11.64195","11.05934","10.84016"
"France","FRA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","14.84562","14.87802","13.83475","13.59431","12.2897","12.74571","11.85518","11.81496"
"Faroe Islands","FRO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Micronesia, Fed. Sts.","FSM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","13.74925","13.73165","12.97444","12.74252","11.86687","11.72598","11.13451","11.2834"
"Gabon","GAB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","40.27758","41.13028","40.81409","40.72566","41.31957","44.0959","43.72065","44.38555"
"United Kingdom","GBR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","12.29911","12.848","11.81449","11.6189","10.80056","10.75487","10.50467","10.47269"
"Georgia","GEO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","26.10124","26.7836","25.00285","23.9102","22.96671","24.25265","21.82964","22.19605"
"Ghana","GHA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.36828","28.2117","28.89743","27.81534","25.88952","34.6819","36.25266","34.71351"
"Gibraltar","GIB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Guinea","GIN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.97103","22.44536","22.98997","21.25856","21.19667","26.94289","24.77771","26.06249"
"Gambia, The","GMB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","30.20126","29.26492","30.72906","29.80467","30.6219","36.30538","32.6153","33.98264"
"Guinea-Bissau","GNB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","26.83636","27.38944","27.09022","26.52421","26.94096","31.79127","29.58587","29.7747"
"Equatorial Guinea","GNQ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","46.18649","46.85259","45.23237","43.62579","44.3018","52.63437","54.50903","53.24062"
"Greece","GRC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","19.06109","20.00154","18.42077","17.77942","17.36504","17.74056","16.32892","16.21827"
"Grenada","GRD","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.47291","28.13952","26.46892","25.84731","24.28703","24.16278","22.88869","22.72269"
"Greenland","GRL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","13.92232","14.09661","13.40669","12.75797","12.51055","11.76204","11.5725","11.60218"
"Guatemala","GTM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","29.98259","31.72733","29.88626","30.05682","26.52786","25.07273","23.79783","24.07065"
"Guam","GUM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","13.88834","14.10353","13.2423","12.78879","12.02255","12.53178","11.65177","11.63441"
"Guyana","GUY","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.31186","27.92942","26.9013","24.8555","23.64827","23.88788","22.3715","22.37557"
"High income","HIC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","16.67459","16.96868","16.08428","15.87106","14.98813","15.8076","14.51885","14.6816"
"Hong Kong SAR, China","HKG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Honduras","HND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","26.88295","28.90075","27.44715","27.68414","23.16154","22.4062","21.08696","20.62885"
